start,start_lat,start_lon,minimum,finish,finish_lat,finish_lon
1990-05-01 00:00:00,85.875,180.0,970.133,1990-05-05 00:00:00,90.0,180.0
1990-05-01 00:00:00,61.2614,312.125,978.888,1990-05-05 00:00:00,88.3125,359.75
1990-05-01 01:00:00,71.3587,277.4239,977.844,1990-05-05 01:00:00,89.5312,309.5
1990-05-01 02:00:00,85.6364,201.9773,973.227,1990-05-05 02:00:00,90.0,256.2188
1990-05-02 00:00:00,86.0938,180.25,971.511,1990-05-05 00:00:00,90.0,203.6562
1990-05-04 23:00:00,60.0,79.5,972.696,1990-05-06 23:00:00,80.6618,118.9412
1990-05-07 21:00:00,86.25,89.1667,971.23,1990-05-15 21:00:00,82.5,96.0625
1990-05-16 21:00:00,67.75,124.0,972.507,1990-05-19 21:00:00,80.3333,131.625
1990-05-18 02:00:00,71.2386,64.0341,983.435,1990-05-26 02:00:00,80.0,110.7083
1990-05-26 22:00:00,65.125,69.375,979.939,1990-05-30 22:00:00,76.2045,125.6136
