start,start_lat,start_lon,minimum,finish,finish_lat,finish_lon
2001-06-16 15:00:00,61.4722,277.9444,981.69,2001-06-18 15:00:00,63.375,310.4583
2001-06-21 11:00:00,60.0,170.3654,981.979,2001-06-23 11:00:00,60.3816,149.0
2001-06-27 02:00:00,67.6591,88.5682,984.547,2001-07-01 02:00:00,83.6875,85.7917
2001-07-17 03:00:00,75.2738,156.3333,984.592,2001-07-19 03:00:00,76.8333,126.2708
2001-07-20 05:00:00,64.0,99.0,982.492,2001-07-23 05:00:00,71.5,79.9583
2001-07-23 13:00:00,62.8182,69.6136,982.734,2001-07-25 13:00:00,65.75,83.6667
2001-07-26 21:00:00,60.0,320.5833,981.933,2001-07-27 21:00:00,62.7143,326.5
2001-07-29 17:00:00,66.5,69.5,977.051,2001-08-01 17:00:00,70.5833,31.5
2001-08-02 10:00:00,83.3214,92.3214,980.835,2001-08-05 10:00:00,84.7105,180.0
2001-08-04 04:00:00,81.925,197.2375,984.063,2001-08-06 04:00:00,81.4792,226.0104
2001-08-09 07:00:00,79.3382,172.4412,984.536,2001-08-11 07:00:00,79.6875,160.8281
2001-08-12 06:00:00,74.5972,178.4306,979.417,2001-08-13 06:00:00,77.125,180.0
2001-08-12 11:00:00,75.5962,181.6731,982.644,2001-08-14 11:00:00,77.6136,187.4091
2001-08-12 14:00:00,69.525,47.925,985.544,2001-08-14 14:00:00,76.2,40.55
2001-09-02 17:00:00,60.1429,307.75,984.83,2001-09-05 17:00:00,68.75,345.413
2001-09-03 15:00:00,60.0,184.4444,978.452,2001-09-05 15:00:00,63.1029,197.1029
2001-09-13 01:00:00,86.1522,138.2283,978.186,2001-09-17 01:00:00,66.0667,165.25
2001-09-27 05:00:00,62.5789,242.9605,982.249,2001-09-30 05:00:00,70.75,270.0795
2001-09-27 05:00:00,60.2368,68.0132,981.835,2001-09-29 05:00:00,65.6406,104.9844
2001-09-28 18:00:00,60.0,335.9583,967.016,2001-09-30 18:00:00,60.0,334.8409
