start,start_lat,start_lon,minimum,finish,finish_lat,finish_lon
1985-06-26 17:00:00,77.1786,96.5,981.586,1985-06-28 17:00:00,77.7812,116.1562
1985-06-30 00:00:00,68.1562,84.8958,980.851,1985-07-04 00:00:00,68.4375,158.5
1985-06-30 12:00:00,60.0208,326.3958,982.569,1985-07-05 12:00:00,77.6562,234.3594
1985-07-10 05:00:00,60.4211,119.3026,981.302,1985-07-12 05:00:00,67.3214,100.7857
1985-08-26 16:00:00,60.2188,261.5312,980.47,1985-08-28 16:00:00,66.2857,267.5714
1985-09-13 11:00:00,78.9808,198.9038,975.206,1985-09-19 11:00:00,64.5577,251.2115
1985-09-14 13:00:00,79.1364,181.3409,976.597,1985-09-22 13:00:00,81.2875,196.825
1985-09-19 20:00:00,64.9375,8.5625,972.133,1985-09-29 20:00:00,72.1875,77.0208
1985-09-28 01:00:00,84.1413,240.413,976.65,1985-10-03 01:00:00,60.0,338.5
1985-09-29 07:00:00,61.6471,200.3824,981.312,1985-10-01 07:00:00,87.0962,227.9808
1985-09-30 01:00:00,70.5978,354.1739,967.336,1985-10-12 01:00:00,61.7647,324.5588
1985-10-08 15:00:00,81.6944,124.8056,975.029,1985-10-11 15:00:00,72.0385,164.2885
1985-10-09 02:00:00,76.2614,259.625,980.73,1985-10-11 02:00:00,77.8833,288.8167
1985-10-15 01:00:00,76.1413,29.5543,960.718,1985-10-23 01:00:00,77.7917,66.5833
1985-10-20 05:00:00,60.9028,186.6806,970.045,1985-10-26 05:00:00,66.1591,282.6364
1985-10-21 05:00:00,63.9211,325.7895,976.562,1985-10-23 05:00:00,72.3229,242.8229
1985-10-22 00:00:00,73.2188,201.9375,983.918,1985-10-24 00:00:00,60.0,216.0588
