year,early-summer,late-summer
2010,4,3
2011,3,5
2012,9,4
2013,3,3
2014,1,8
2015,6,5
2016,5,19
2017,13,7
2018,11,11
2019,3,8
1982,3,11
1983,1,8
1984,2,5
1985,3,6
1986,4,4
1987,3,10
1988,11,15
1989,9,8
1990,6,8
1991,2,13
year,early-summer,late-summer
2010,4,3
2011,3,5
2012,9,4
2013,3,3
2014,1,8
2015,6,5
2016,5,19
2017,13,7
2018,11,11
2019,3,8
1982,3,11
1983,1,8
1984,2,5
1985,3,6
1986,4,4
1987,3,10
1988,11,15
1989,9,8
1990,6,8
1991,2,13
year,early-summer,late-summer
2010,4,3
2011,3,5
2012,9,4
2013,3,3
2014,1,8
2015,6,5
2016,5,19
2017,13,7
2018,11,11
2019,3,8
1982,3,11
1983,1,8
1984,2,5
1985,3,6
1986,4,4
1987,3,10
1988,11,15
1989,9,8
1990,6,8
1991,2,13
year,early-summer,late-summer
2010,4,3
2011,3,5
2012,9,4
2013,3,3
2014,1,8
2015,6,5
2016,5,19
2017,13,7
2018,11,11
2019,3,8
1982,3,11
1983,1,8
1984,2,5
1985,3,6
1986,4,4
1987,3,10
1988,11,15
1989,9,8
1990,6,8
1991,2,13
year,early-summer,late-summer
2010,4,3
2011,3,5
2012,9,4
2013,3,3
2014,1,8
2015,6,5
2016,5,19
2017,13,7
2018,11,11
2019,3,8
1982,3,11
1983,1,8
1984,2,5
1985,3,6
1986,4,4
1987,3,10
1988,11,15
1989,9,8
1990,6,8
1991,2,13
year,early-summer,late-summer
2010,4,3
2011,3,5
2012,9,4
2013,3,3
2014,1,8
2015,6,5
2016,5,19
2017,13,7
2018,11,11
2019,3,8
1982,3,11
1983,1,8
1984,2,5
1985,3,6
1986,4,4
1987,3,10
1988,11,15
1989,9,8
1990,6,8
1991,2,13
year,early-summer,late-summer
2010,4,3
2011,3,5
2012,9,4
2013,3,3
2014,1,8
2015,6,5
2016,5,19
2017,13,7
2018,11,11
2019,3,8
1982,3,11
1983,1,8
1984,2,5
1985,3,6
1986,4,4
1987,3,10
1988,11,15
1989,9,8
1990,6,8
1991,2,13
year,early-summer,late-summer
2010,4,3
2011,3,5
2012,9,4
2013,3,3
2014,1,8
2015,6,5
2016,5,19
2017,13,7
2018,11,11
2019,3,7
1982,3,11
1983,1,8
1984,2,3
1985,3,6
1986,4,4
1987,3,10
1988,11,15
1989,9,8
1990,6,8
1991,2,13
year,early-summer,late-summer
2010,4,3
2011,3,5
2012,9,4
2013,3,3
2014,1,8
2015,6,5
2016,5,19
2017,13,7
2018,11,11
2019,3,7
1982,3,11
1983,1,8
1984,2,3
1985,3,6
1986,4,4
1987,3,10
1988,11,15
1989,9,8
1990,6,8
1991,2,13
year,early-summer,late-summer
2010,4,3
2011,3,5
2012,9,4
2013,3,3
2014,1,8
2015,6,5
2016,5,19
2017,13,7
2018,11,11
2019,3,8
1982,3,11
1983,1,8
1984,2,5
1985,3,6
1986,4,4
1987,3,10
1988,11,15
1989,9,8
1990,6,8
1991,2,13
year,early-summer,late-summer
2010,4,3
2011,3,5
2012,9,4
2013,3,3
2014,1,8
2015,6,5
2016,5,19
2017,13,7
2018,11,11
2019,3,8
1982,3,11
1983,1,8
1984,2,5
1985,3,6
1986,4,4
1987,3,10
1988,11,15
1989,9,8
1990,6,8
1991,2,13
year,early-summer,late-summer
2010,4,3
2011,3,5
2012,9,4
2013,3,3
2014,1,8
2015,6,5
2016,5,19
2017,13,7
2018,11,11
2019,3,8
1982,3,11
1983,1,8
1984,5,8
1985,3,6
1986,4,4
1987,3,10
1988,11,15
1989,9,8
1990,6,8
1991,2,13
year,early-summer,late-summer
2010,4,3
2011,3,5
2012,9,4
2013,3,3
2014,1,8
2015,6,5
2016,5,19
2017,13,7
2018,11,11
2019,3,8
1982,3,11
1983,1,8
1984,2,5
1985,3,6
1986,4,4
1987,3,10
1988,11,15
1989,9,8
1990,6,8
1991,2,13
year,early-summer,late-summer
2010,4,3
2011,3,5
2012,9,4
2013,3,3
2014,1,8
2015,6,5
2016,5,19
2017,13,7
2018,11,11
2019,3,8
1982,3,11
1983,1,8
1984,2,5
1985,3,6
1986,4,4
1987,3,10
1988,11,15
1989,9,8
1990,6,8
1991,2,13
year,early-summer,late-summer
2010,4,3
2011,3,5
2012,9,4
2013,3,3
2014,1,8
2015,6,5
2016,5,19
2017,13,7
2018,11,11
2019,3,7
1982,3,11
1983,1,8
1984,2,3
1985,3,6
1986,4,4
1987,3,10
1988,11,15
1989,9,8
1990,6,8
1991,2,13
year,early-summer,late-summer
2010,4,3
2011,3,5
2012,9,4
2013,3,3
2014,1,8
2015,6,5
2016,5,19
2017,13,7
2018,11,11
2019,3,8
1982,3,11
1983,1,8
1984,5,8
1985,3,6
1986,4,4
1987,3,10
1988,11,15
1989,9,8
1990,6,8
1991,2,13
year,early-summer,late-summer
2010,4,3
2011,3,5
2012,9,4
2013,3,3
2014,1,8
2015,6,5
2016,5,19
2017,13,7
2018,11,11
2019,3,7
1982,3,11
1983,1,8
1984,2,3
1985,3,6
1986,4,4
1987,3,10
1988,11,15
1989,9,8
1990,6,8
1991,2,13
year,early-summer,late-summer
2010,4,3
2011,3,5
2012,9,4
2013,3,3
2014,1,8
2015,6,5
2016,5,19
2017,13,7
2018,11,11
2019,3,8
1982,3,11
1983,1,8
1984,5,8
1985,3,6
1986,4,4
1987,3,10
1988,11,15
1989,9,8
1990,6,8
