start,start_lat,start_lon,minimum,finish,finish_lat,finish_lon
2011-06-01 00:00:00,60.0,184.2083,981.386,2011-06-06 00:00:00,61.75,268.3125
2011-06-01 05:00:00,60.0,180.0,980.908,2011-06-03 05:00:00,87.9167,178.75
2011-06-01 20:00:00,68.5625,257.125,981.653,2011-06-03 20:00:00,86.1042,273.3958
2011-06-02 20:00:00,82.5,239.5,983.513,2011-06-03 20:00:00,67.975,210.925
2011-06-10 16:00:00,68.8438,114.9688,982.696,2011-06-14 16:00:00,65.5312,72.2812
2011-06-28 15:00:00,66.2778,235.4444,984.527,2011-07-01 15:00:00,61.4881,259.4286
2011-07-21 01:00:00,76.2391,131.4674,975.32,2011-07-27 01:00:00,76.25,129.3
2011-09-08 06:00:00,60.0,140.1667,974.775,2011-09-12 06:00:00,60.9375,166.475
2011-09-09 09:00:00,84.7167,180.25,982.129,2011-09-12 09:00:00,60.15,183.725
2011-09-18 22:00:00,78.0,270.625,972.253,2011-09-23 22:00:00,71.6111,247.8611
2011-09-20 01:00:00,62.3913,332.9348,973.974,2011-09-30 01:00:00,63.2614,335.1477
2011-09-26 16:00:00,63.5625,253.6875,978.338,2011-09-30 16:00:00,87.5714,293.6071
