start,start_lat,start_lon,minimum,finish,finish_lat,finish_lon
2014-06-19 00:00:00,64.25,45.0,983.39484,2014-06-20 18:00:00,68.0,30.25
2014-09-07 15:00:00,78.0,171.25,982.0466,2014-09-08 10:00:00,81.75,179.75
2014-09-17 12:00:00,82.0,12.75,981.15155,2014-09-18 09:00:00,60.0,71.0
2014-06-27 05:00:00,67.25,281.0,983.3551,2014-06-28 09:00:00,68.75,295.0
2014-09-13 14:00:00,79.75,13.25,976.1145,2014-09-14 12:00:00,81.5,23.75
2014-09-18 06:00:00,85.5,353.75,981.75946,2014-09-19 00:00:00,81.25,24.25
2014-09-07 17:00:00,77.5,180.25,981.6329,2014-09-08 03:00:00,82.75,203.0
2014-09-08 16:00:00,82.5,188.25,983.5067,2014-09-09 18:00:00,64.0,280.0
2014-09-29 04:00:00,90.0,282.75,982.2276,2014-09-30 19:00:00,75.5,298.0
2014-08-11 02:00:00,60.0,357.0,978.7243,2014-08-13 00:00:00,60.0,0.0
2014-09-27 16:00:00,79.5,52.0,977.28467,2014-09-27 17:00:00,80.0,52.5
2014-09-13 11:00:00,60.0,313.25,981.9847,2014-09-13 15:00:00,71.75,309.5
2014-09-13 02:00:00,60.0,305.0,979.9858,2014-09-13 11:00:00,66.75,313.0
