start,start_lat,start_lon,minimum,finish,finish_lat,finish_lon
1984-06-25 00:00:00,63.75,273.75,988.4087,1984-06-25 14:00:00,65.0,280.5
1984-06-30 08:00:00,60.0,248.25,976.4303,1984-07-02 16:00:00,62.0,247.75
1984-08-05 06:00:00,60.0,309.75,978.13007,1984-08-06 08:00:00,64.25,303.25
1984-08-07 00:00:00,63.0,322.5,984.6305,1984-08-07 19:00:00,71.75,315.75
1984-08-25 16:00:00,60.0,319.0,986.93744,1984-08-26 09:00:00,60.0,327.25
1984-08-27 17:00:00,60.0,294.25,975.9699,1984-09-04 17:00:00,61.5,25.0
1984-09-12 14:00:00,61.5,332.0,977.12756,1984-09-16 01:00:00,67.25,328.75
1984-09-17 20:00:00,60.0,331.0,978.3119,1984-09-21 06:00:00,60.25,350.5
1984-09-22 03:00:00,60.0,357.5,988.6222,1984-09-22 08:00:00,60.0,357.5
1984-09-30 04:00:00,62.25,350.25,974.5754,1984-09-30 23:00:00,61.75,0.0
1984-06-05 04:00:00,60.0,79.5,983.0525,1984-06-06 10:00:00,61.75,79.5
1984-06-21 12:00:00,60.0,161.5,988.9124,1984-06-21 21:00:00,60.0,166.25
1984-08-09 22:00:00,60.0,145.5,983.0692,1984-08-10 21:00:00,64.0,149.0
1984-08-30 15:00:00,66.75,4.75,978.94244,1984-08-31 16:00:00,65.25,24.5
1984-06-07 13:00:00,60.0,136.5,983.3011,1984-06-08 10:00:00,62.0,131.25
1984-09-04 03:00:00,60.0,168.0,985.25604,1984-09-04 18:00:00,61.75,160.25
1984-09-12 05:00:00,60.0,159.5,985.16766,1984-09-13 08:00:00,60.0,169.75
1984-09-16 03:00:00,68.75,177.75,988.94415,1984-09-16 09:00:00,68.75,179.75
1984-08-31 10:00:00,60.0,286.5,985.3361,1984-09-01 09:00:00,68.25,283.25
1984-09-14 17:00:00,60.0,205.0,986.3736,1984-09-16 21:00:00,69.5,183.75
1984-09-30 07:00:00,60.5,193.5,981.7431,1984-09-30 23:00:00,60.0,211.0
1984-06-21 02:00:00,63.5,353.5,981.1877,1984-06-24 07:00:00,60.0,17.25
1984-08-30 06:00:00,63.0,352.25,982.91406,1984-08-30 15:00:00,68.5,359.75
1984-09-28 23:00:00,65.25,286.0,984.9691,1984-09-29 21:00:00,70.0,278.5
