start,start_lat,start_lon,minimum,finish,finish_lat,finish_lon
2010-06-02 16:00:00,60.0,217.5,984.89923,2010-06-03 14:00:00,62.75,221.0
2010-06-13 22:00:00,60.0,184.0,988.9942,2010-06-14 07:00:00,60.0,183.25
2010-06-16 18:00:00,60.0,186.25,985.9296,2010-06-17 17:00:00,61.5,187.75
2010-07-16 15:00:00,60.0,355.0,989.767,2010-07-16 17:00:00,60.5,355.0
2010-07-19 00:00:00,73.0,26.25,984.09845,2010-07-21 05:00:00,77.75,61.25
2010-08-08 07:00:00,60.0,180.0,987.35,2010-08-09 00:00:00,60.0,180.0
2010-09-29 17:00:00,90.0,180.0,987.69147,2010-09-30 12:00:00,87.25,165.25
2010-06-04 03:00:00,63.75,152.5,987.983,2010-06-04 13:00:00,63.5,154.25
2010-06-18 21:00:00,65.75,74.5,987.13806,2010-06-19 21:00:00,68.0,85.25
2010-06-23 15:00:00,73.25,72.25,986.42413,2010-06-25 07:00:00,69.0,102.75
2010-07-06 08:00:00,87.0,139.25,989.9613,2010-07-06 08:00:00,87.0,139.25
2010-07-11 04:00:00,85.5,180.0,986.5228,2010-07-12 05:00:00,80.5,180.0
2010-07-21 00:00:00,78.5,130.5,985.67194,2010-07-21 08:00:00,77.75,140.0
2010-07-23 08:00:00,73.5,137.75,986.65375,2010-07-24 13:00:00,78.5,164.0
2010-07-28 16:00:00,87.25,125.0,985.42914,2010-07-30 02:00:00,82.25,106.5
2010-08-03 00:00:00,74.0,97.0,986.8996,2010-08-03 12:00:00,74.5,105.5
2010-09-05 23:00:00,70.75,82.5,985.17444,2010-09-08 05:00:00,64.5,120.5
2010-09-12 19:00:00,67.75,103.0,985.12585,2010-09-14 04:00:00,71.5,100.0
2010-09-26 18:00:00,69.75,62.25,984.674,2010-09-28 01:00:00,71.75,59.0
2010-06-17 04:00:00,60.5,46.75,986.09595,2010-06-18 03:00:00,61.0,50.25
2010-06-21 17:00:00,72.75,15.25,988.83966,2010-06-22 04:00:00,72.75,19.0
2010-06-27 21:00:00,68.5,49.75,987.6738,2010-06-28 08:00:00,70.75,47.25
2010-07-15 20:00:00,71.75,58.25,987.4825,2010-07-16 08:00:00,70.75,63.25
2010-07-16 23:00:00,68.0,84.25,987.5737,2010-07-18 17:00:00,75.0,99.0
2010-07-27 01:00:00,86.0,51.5,989.0693,2010-07-27 03:00:00,85.75,58.0
2010-08-27 15:00:00,69.75,69.75,986.8407,2010-08-29 00:00:00,71.75,65.75
2010-09-04 19:00:00,69.75,65.25,984.3516,2010-09-05 22:00:00,70.0,77.25
2010-09-29 22:00:00,89.75,99.5,987.96826,2010-09-29 22:00:00,89.75,99.5
2010-06-11 22:00:00,60.0,10.75,985.6426,2010-06-12 04:00:00,60.25,11.5
2010-07-20 23:00:00,82.25,220.75,986.61554,2010-07-22 02:00:00,78.5,262.75
2010-07-31 04:00:00,67.25,5.5,989.68604,2010-07-31 07:00:00,67.25,5.0
2010-08-02 14:00:00,89.25,315.0,988.07135,2010-08-03 03:00:00,90.0,359.75
2010-06-26 04:00:00,60.0,298.25,984.6107,2010-06-26 22:00:00,60.0,291.25
2010-07-10 17:00:00,85.0,210.25,986.19604,2010-07-12 10:00:00,79.0,192.25
2010-07-22 14:00:00,71.75,190.5,989.17084,2010-07-22 21:00:00,71.75,194.5
2010-07-29 11:00:00,61.75,298.75,986.74646,2010-07-30 11:00:00,65.25,300.0
2010-08-02 08:00:00,86.75,253.75,988.0271,2010-08-03 03:00:00,90.0,309.5
2010-09-29 15:00:00,88.75,281.5,987.76514,2010-09-30 12:00:00,86.5,180.5
2010-06-22 02:00:00,66.25,142.75,989.3975,2010-06-22 16:00:00,67.5,154.5
2010-07-03 12:00:00,88.0,180.0,985.6028,2010-07-04 21:00:00,87.5,160.0
2010-07-28 04:00:00,87.25,209.25,986.83484,2010-07-29 04:00:00,89.0,196.0
2010-08-01 02:00:00,76.5,223.0,988.1478,2010-08-01 14:00:00,76.0,240.5
2010-08-02 00:00:00,85.0,190.5,986.36383,2010-08-03 12:00:00,77.0,259.25
2010-09-29 17:00:00,89.75,235.25,987.76514,2010-09-30 05:00:00,89.75,209.0
2010-07-03 12:00:00,87.25,180.25,989.5948,2010-07-03 12:00:00,88.5,188.5
2010-07-04 07:00:00,84.75,180.25,984.75494,2010-07-04 10:00:00,90.0,196.75
2010-07-27 11:00:00,83.25,180.25,986.44476,2010-07-28 04:00:00,88.0,209.0
2010-08-01 22:00:00,84.75,181.5,989.77435,2010-08-02 00:00:00,85.0,190.25
2010-08-02 14:00:00,89.25,180.25,987.6267,2010-08-03 12:00:00,88.75,185.0
2010-09-29 17:00:00,90.0,180.25,987.75037,2010-09-30 01:00:00,90.0,199.75
2010-09-29 18:00:00,89.75,180.25,989.2974,2010-09-29 18:00:00,90.0,184.75
