start,start_lat,start_lon,minimum,finish,finish_lat,finish_lon
2015-06-06 00:00:00,87.75,180.25,976.4634,2015-06-09 00:00:00,90.0,359.75
2015-06-06 04:00:00,87.25,180.25,971.8325,2015-06-09 14:00:00,73.5,189.25
2015-06-06 05:00:00,87.0,180.25,970.0249,2015-06-09 02:00:00,86.25,180.25
2015-06-15 09:00:00,65.25,27.75,981.4224,2015-06-17 12:00:00,74.0,86.5
2015-07-12 07:00:00,60.0,48.0,978.9068,2015-07-15 09:00:00,71.5,56.75
2015-07-19 01:00:00,60.0,72.0,978.1664,2015-07-21 06:00:00,73.25,71.25
2015-09-08 15:00:00,60.0,329.5,976.1145,2015-09-11 08:00:00,89.0,337.25
2015-09-10 02:00:00,74.0,79.75,974.7838,2015-09-13 18:00:00,68.25,129.5
2015-09-26 08:00:00,61.25,333.0,959.9199,2015-09-30 21:00:00,83.75,40.5
2015-09-26 19:00:00,81.5,136.0,980.35077,2015-09-29 11:00:00,75.25,180.0
